product_id,category_L1,category_L2,category_L3,price,price_tier
P000000,전자제품,모바일,스마트폰,84000,high
P000001,전자제품,PC,모니터,80000,high
P000002,의류,하의,슬랙스,13000,low
P000003,의류,상의,니트,10000,low
P000004,전자제품,PC,모니터,105000,high
P000005,의류,하의,청바지,12000,low
P000006,의류,상의,니트,6000,low
P000007,의류,상의,셔츠,69000,medium
P000008,의류,하의,스커트,5000,low
P000009,전자제품,PC,키보드,15000,low
P000010,전자제품,PC,키보드,52000,medium
P000011,전자제품,PC,키보드,6000,low
P000012,전자제품,PC,모니터,52000,medium
P000013,전자제품,PC,노트북,7000,low
P000014,전자제품,PC,키보드,27000,low
P000015,의류,상의,니트,29000,low
P000016,의류,하의,청바지,49000,medium
P000017,의류,상의,니트,103000,high
P000018,전자제품,모바일,스마트폰,14000,low
P000019,전자제품,모바일,스마트폰,5000,low
P000020,전자제품,모바일,웨어러블,173000,high
P000021,의류,상의,셔츠,29000,low
P000022,전자제품,PC,노트북,10000,low
P000023,의류,하의,청바지,18000,low
P000024,전자제품,PC,키보드,11000,low
P000025,전자제품,모바일,태블릿,6000,low
P000026,의류,상의,티셔츠,19000,low
P000027,전자제품,모바일,태블릿,75000,medium
P000028,의류,하의,스커트,16000,low
P000029,의류,하의,청바지,15000,low
P000030,의류,상의,셔츠,79000,medium
P000031,의류,상의,셔츠,30000,medium
P000032,의류,하의,청바지,50000,medium
P000033,전자제품,모바일,태블릿,47000,medium
P000034,전자제품,PC,키보드,7000,low
P000035,전자제품,모바일,태블릿,98000,high
P000036,의류,상의,셔츠,43000,medium
P000037,전자제품,모바일,태블릿,27000,low
P000038,전자제품,PC,키보드,51000,medium
P000039,전자제품,모바일,웨어러블,22000,low
P000040,의류,상의,티셔츠,5000,low
P000041,전자제품,모바일,웨어러블,78000,medium
P000042,전자제품,PC,키보드,22000,low
P000043,전자제품,PC,모니터,16000,low
P000044,전자제품,모바일,태블릿,70000,medium
P000045,의류,상의,티셔츠,51000,medium
P000046,전자제품,PC,노트북,27000,low
P000047,전자제품,모바일,웨어러블,128000,high
P000048,전자제품,모바일,웨어러블,53000,medium
P000049,의류,상의,셔츠,10000,low
P000050,전자제품,모바일,스마트폰,23000,low
P000051,전자제품,모바일,태블릿,59000,medium
P000052,전자제품,PC,키보드,55000,medium
P000053,전자제품,PC,모니터,46000,medium
P000054,의류,상의,니트,11000,low
P000055,의류,상의,니트,76000,medium
P000056,전자제품,PC,노트북,18000,low
P000057,전자제품,모바일,스마트폰,7000,low
P000058,전자제품,PC,노트북,6000,low
P000059,의류,상의,니트,6000,low
P000060,전자제품,모바일,스마트폰,37000,medium
P000061,의류,하의,청바지,124000,high
P000062,전자제품,모바일,스마트폰,51000,medium
P000063,전자제품,PC,모니터,16000,low
P000064,전자제품,모바일,스마트폰,22000,low
P000065,의류,하의,스커트,111000,high
P000066,전자제품,PC,노트북,87000,high
P000067,전자제품,모바일,웨어러블,10000,low
P000068,전자제품,PC,키보드,86000,high
P000069,전자제품,PC,키보드,31000,medium
P000070,전자제품,PC,모니터,24000,low
P000071,전자제품,모바일,스마트폰,118000,high
P000072,전자제품,모바일,스마트폰,123000,high
P000073,의류,상의,티셔츠,17000,low
P000074,전자제품,모바일,웨어러블,90000,high
P000075,전자제품,모바일,웨어러블,23000,low
P000076,의류,하의,스커트,40000,medium
P000077,전자제품,모바일,웨어러블,38000,medium
P000078,의류,상의,티셔츠,11000,low
P000079,전자제품,PC,키보드,18000,low
P000080,전자제품,PC,모니터,24000,low
P000081,전자제품,모바일,태블릿,65000,medium
P000082,의류,상의,티셔츠,8000,low
P000083,전자제품,PC,노트북,169000,high
P000084,전자제품,모바일,스마트폰,39000,medium
P000085,의류,상의,티셔츠,13000,low
P000086,전자제품,모바일,태블릿,6000,low
P000087,의류,상의,티셔츠,192000,high
P000088,전자제품,PC,키보드,7000,low
P000089,의류,하의,슬랙스,26000,low
P000090,의류,상의,티셔츠,18000,low
P000091,의류,상의,셔츠,42000,medium
P000092,전자제품,PC,노트북,217000,high
P000093,전자제품,모바일,스마트폰,60000,medium
P000094,전자제품,PC,모니터,28000,low
P000095,의류,상의,티셔츠,70000,medium
P000096,전자제품,모바일,태블릿,36000,medium
P000097,의류,상의,셔츠,55000,medium
P000098,전자제품,PC,모니터,89000,high
P000099,의류,상의,티셔츠,13000,low
P000100,전자제품,PC,모니터,15000,low
P000101,의류,상의,니트,49000,medium
P000102,전자제품,PC,모니터,17000,low
P000103,전자제품,PC,노트북,40000,medium
P000104,의류,상의,니트,26000,low
P000105,전자제품,모바일,스마트폰,14000,low
P000106,의류,상의,티셔츠,30000,medium
P000107,전자제품,모바일,스마트폰,143000,high
P000108,의류,상의,티셔츠,61000,medium
P000109,전자제품,모바일,웨어러블,11000,low
P000110,전자제품,모바일,스마트폰,43000,medium
P000111,전자제품,PC,노트북,19000,low
P000112,전자제품,PC,키보드,14000,low
P000113,전자제품,모바일,웨어러블,41000,medium
P000114,의류,상의,티셔츠,18000,low
P000115,전자제품,PC,키보드,45000,medium
P000116,전자제품,PC,모니터,15000,low
P000117,전자제품,모바일,웨어러블,26000,low
P000118,의류,상의,니트,102000,high
P000119,의류,하의,스커트,80000,high
P000120,전자제품,모바일,태블릿,100000,high
P000121,의류,상의,티셔츠,13000,low
P000122,의류,하의,스커트,60000,medium
P000123,의류,상의,니트,28000,low
P000124,전자제품,모바일,웨어러블,59000,medium
P000125,의류,상의,셔츠,13000,low
P000126,의류,상의,셔츠,38000,medium
P000127,의류,상의,니트,57000,medium
P000128,전자제품,모바일,웨어러블,14000,low
P000129,의류,하의,청바지,18000,low
P000130,의류,하의,슬랙스,14000,low
P000131,전자제품,모바일,태블릿,57000,medium
P000132,전자제품,모바일,스마트폰,68000,medium
P000133,의류,상의,티셔츠,44000,medium
P000134,전자제품,PC,모니터,27000,low
P000135,전자제품,모바일,스마트폰,19000,low
P000136,의류,하의,스커트,197000,high
P000137,의류,상의,니트,116000,high
P000138,전자제품,PC,모니터,33000,medium
P000139,의류,하의,슬랙스,39000,medium
P000140,전자제품,PC,키보드,60000,medium
P000141,의류,상의,티셔츠,15000,low
P000142,의류,상의,니트,47000,medium
P000143,의류,상의,티셔츠,7000,low
P000144,전자제품,PC,키보드,146000,high
P000145,의류,하의,슬랙스,112000,high
P000146,전자제품,PC,키보드,5000,low
P000147,전자제품,모바일,태블릿,25000,low
P000148,의류,하의,슬랙스,47000,medium
P000149,전자제품,PC,키보드,100000,high
P000150,의류,하의,슬랙스,15000,low
P000151,의류,상의,티셔츠,24000,low
P000152,의류,상의,셔츠,45000,medium
P000153,의류,하의,스커트,64000,medium
P000154,전자제품,모바일,태블릿,8000,low
P000155,의류,상의,셔츠,52000,medium
P000156,의류,하의,스커트,27000,low
P000157,전자제품,PC,모니터,22000,low
P000158,전자제품,PC,노트북,72000,medium
P000159,의류,상의,티셔츠,12000,low
P000160,의류,하의,스커트,27000,low
P000161,전자제품,PC,노트북,87000,high
P000162,의류,상의,니트,19000,low
P000163,전자제품,모바일,태블릿,127000,high
P000164,전자제품,PC,노트북,5000,low
P000165,의류,하의,청바지,85000,high
P000166,의류,상의,티셔츠,8000,low
P000167,전자제품,PC,키보드,113000,high
P000168,전자제품,PC,키보드,48000,medium
P000169,전자제품,모바일,스마트폰,60000,medium
P000170,의류,상의,니트,36000,medium
P000171,의류,하의,스커트,49000,medium
P000172,의류,하의,스커트,19000,low
P000173,전자제품,PC,노트북,91000,high
P000174,의류,하의,스커트,43000,medium
P000175,의류,하의,슬랙스,41000,medium
P000176,의류,하의,슬랙스,20000,low
P000177,전자제품,PC,키보드,53000,medium
P000178,의류,하의,청바지,97000,high
P000179,의류,하의,청바지,31000,medium
P000180,의류,상의,니트,55000,medium
P000181,의류,하의,청바지,12000,low
P000182,의류,상의,셔츠,41000,medium
P000183,의류,상의,니트,84000,high
P000184,의류,상의,니트,33000,medium
P000185,전자제품,모바일,스마트폰,19000,low
P000186,전자제품,PC,노트북,169000,high
P000187,전자제품,모바일,스마트폰,32000,medium
P000188,전자제품,PC,키보드,31000,medium
P000189,전자제품,PC,노트북,128000,high
P000190,의류,상의,셔츠,18000,low
P000191,의류,하의,스커트,67000,medium
P000192,전자제품,모바일,태블릿,141000,high
P000193,의류,상의,티셔츠,159000,high
P000194,전자제품,모바일,스마트폰,58000,medium
P000195,의류,하의,슬랙스,52000,medium
P000196,전자제품,모바일,스마트폰,7000,low
P000197,전자제품,PC,노트북,27000,low
P000198,의류,하의,슬랙스,11000,low
P000199,전자제품,PC,키보드,7000,low
P000200,의류,상의,티셔츠,23000,low
P000201,의류,하의,청바지,14000,low
P000202,전자제품,PC,노트북,77000,medium
P000203,의류,하의,슬랙스,37000,medium
P000204,의류,상의,티셔츠,36000,medium
P000205,의류,하의,슬랙스,30000,medium
P000206,전자제품,PC,노트북,153000,high
P000207,의류,하의,청바지,7000,low
P000208,전자제품,PC,노트북,54000,medium
P000209,전자제품,PC,노트북,39000,medium
P000210,전자제품,모바일,태블릿,58000,medium
P000211,의류,하의,청바지,52000,medium
P000212,전자제품,모바일,스마트폰,149000,high
P000213,전자제품,PC,키보드,49000,medium
P000214,전자제품,PC,모니터,85000,high
P000215,전자제품,PC,키보드,29000,low
P000216,전자제품,PC,키보드,11000,low
P000217,의류,상의,니트,90000,high
P000218,전자제품,PC,키보드,29000,low
P000219,의류,상의,티셔츠,57000,medium
P000220,전자제품,PC,모니터,15000,low
P000221,전자제품,PC,키보드,10000,low
P000222,의류,상의,셔츠,6000,low
P000223,의류,상의,셔츠,62000,medium
P000224,의류,상의,티셔츠,58000,medium
P000225,전자제품,PC,노트북,62000,medium
P000226,의류,상의,셔츠,20000,low
P000227,전자제품,모바일,스마트폰,11000,low
P000228,의류,하의,슬랙스,26000,low
P000229,전자제품,PC,모니터,109000,high
P000230,의류,하의,청바지,32000,medium
P000231,전자제품,모바일,웨어러블,44000,medium
P000232,의류,하의,슬랙스,74000,medium
P000233,의류,상의,니트,237000,high
P000234,의류,하의,청바지,28000,low
P000235,전자제품,모바일,스마트폰,48000,medium
P000236,전자제품,모바일,스마트폰,138000,high
P000237,의류,하의,슬랙스,18000,low
P000238,전자제품,모바일,스마트폰,74000,medium
P000239,전자제품,모바일,웨어러블,18000,low
P000240,의류,상의,티셔츠,43000,medium
P000241,의류,하의,청바지,92000,high
P000242,의류,하의,스커트,22000,low
P000243,의류,상의,니트,29000,low
P000244,전자제품,PC,키보드,164000,high
P000245,의류,상의,니트,9000,low
P000246,전자제품,모바일,스마트폰,162000,high
P000247,의류,하의,청바지,47000,medium
P000248,의류,하의,슬랙스,9000,low
P000249,전자제품,PC,키보드,24000,low
P000250,전자제품,PC,모니터,16000,low
P000251,의류,하의,슬랙스,83000,high
P000252,전자제품,모바일,웨어러블,11000,low
P000253,의류,하의,슬랙스,39000,medium
P000254,전자제품,모바일,스마트폰,280000,high
P000255,전자제품,PC,노트북,34000,medium
P000256,전자제품,모바일,스마트폰,44000,medium
P000257,전자제품,PC,모니터,11000,low
P000258,전자제품,PC,키보드,63000,medium
P000259,전자제품,PC,노트북,53000,medium
P000260,의류,하의,스커트,9000,low
P000261,전자제품,모바일,태블릿,8000,low
P000262,의류,상의,셔츠,116000,high
P000263,의류,상의,셔츠,9000,low
P000264,의류,하의,슬랙스,18000,low
P000265,전자제품,모바일,태블릿,28000,low
P000266,의류,상의,티셔츠,111000,high
P000267,의류,상의,티셔츠,152000,high
P000268,전자제품,모바일,웨어러블,49000,medium
P000269,의류,하의,청바지,28000,low
P000270,의류,상의,니트,80000,high
P000271,의류,하의,스커트,66000,medium
P000272,전자제품,PC,노트북,123000,high
P000273,전자제품,모바일,스마트폰,33000,medium
P000274,의류,상의,셔츠,36000,medium
P000275,전자제품,PC,노트북,72000,medium
P000276,전자제품,모바일,태블릿,11000,low
P000277,전자제품,모바일,웨어러블,73000,medium
P000278,의류,상의,니트,48000,medium
P000279,전자제품,모바일,웨어러블,28000,low
P000280,의류,상의,티셔츠,9000,low
P000281,의류,상의,티셔츠,17000,low
P000282,의류,하의,스커트,86000,high
P000283,의류,하의,슬랙스,7000,low
P000284,의류,하의,슬랙스,252000,high
P000285,의류,하의,슬랙스,19000,low
P000286,의류,상의,니트,179000,high
P000287,의류,상의,셔츠,14000,low
P000288,의류,상의,티셔츠,64000,medium
P000289,의류,상의,티셔츠,54000,medium
P000290,의류,하의,스커트,29000,low
P000291,전자제품,모바일,스마트폰,7000,low
P000292,전자제품,PC,키보드,164000,high
P000293,전자제품,모바일,태블릿,30000,medium
P000294,전자제품,모바일,태블릿,53000,medium
P000295,전자제품,모바일,태블릿,14000,low
P000296,의류,하의,청바지,36000,medium
P000297,전자제품,PC,노트북,18000,low
P000298,전자제품,PC,키보드,9000,low
P000299,전자제품,모바일,웨어러블,20000,low
P000300,전자제품,PC,모니터,64000,medium
P000301,의류,상의,티셔츠,21000,low
P000302,의류,하의,슬랙스,89000,high
P000303,전자제품,PC,키보드,20000,low
P000304,의류,상의,니트,91000,high
P000305,의류,상의,셔츠,31000,medium
P000306,의류,하의,슬랙스,52000,medium
P000307,의류,상의,셔츠,9000,low
P000308,의류,상의,셔츠,45000,medium
P000309,의류,하의,슬랙스,6000,low
P000310,의류,상의,티셔츠,80000,high
P000311,의류,상의,셔츠,223000,high
P000312,의류,상의,티셔츠,28000,low
P000313,전자제품,PC,노트북,28000,low
P000314,의류,하의,스커트,93000,high
P000315,의류,상의,티셔츠,96000,high
P000316,의류,상의,셔츠,6000,low
P000317,의류,상의,티셔츠,5000,low
P000318,전자제품,모바일,스마트폰,105000,high
P000319,의류,상의,티셔츠,43000,medium
P000320,의류,하의,슬랙스,289000,high
