user_id,persona
U00000,트렌드세터
U00001,충동구매
U00002,트렌드세터
U00003,실용주의자
U00004,가성비추구
U00005,가성비추구
U00006,트렌드세터
U00007,신중탐색
U00008,실용주의자
U00009,실용주의자
U00010,실용주의자
U00011,충동구매
U00012,트렌드세터
U00013,트렌드세터
U00014,가성비추구
U00015,신중탐색
U00016,트렌드세터
U00017,트렌드세터
U00018,브랜드충성
U00019,브랜드충성
U00020,신중탐색
U00021,가성비추구
U00022,가성비추구
U00023,가성비추구
U00024,가성비추구
U00025,신중탐색
U00026,실용주의자
U00027,트렌드세터
U00028,실용주의자
U00029,신중탐색
U00030,가성비추구
U00031,실용주의자
U00032,실용주의자
U00033,트렌드세터
U00034,브랜드충성
U00035,브랜드충성
U00036,실용주의자
U00037,신중탐색
U00038,브랜드충성
U00039,브랜드충성
U00040,브랜드충성
U00041,충동구매
U00042,가성비추구
U00043,실용주의자
U00044,트렌드세터
U00045,가성비추구
U00046,가성비추구
U00047,신중탐색
U00048,실용주의자
U00049,충동구매
U00050,실용주의자
U00051,신중탐색
U00052,가성비추구
U00053,가성비추구
U00054,실용주의자
U00055,실용주의자
U00056,브랜드충성
U00057,브랜드충성
U00058,신중탐색
U00059,가성비추구
U00060,실용주의자
U00061,브랜드충성
U00062,신중탐색
U00063,신중탐색
U00064,브랜드충성
U00065,실용주의자
U00066,가성비추구
U00067,가성비추구
U00068,가성비추구
U00069,트렌드세터
U00070,실용주의자
U00071,가성비추구
U00072,충동구매
U00073,실용주의자
U00074,실용주의자
U00075,충동구매
U00076,브랜드충성
U00077,가성비추구
U00078,트렌드세터
U00079,가성비추구
U00080,충동구매
U00081,트렌드세터
U00082,트렌드세터
U00083,충동구매
U00084,가성비추구
U00085,브랜드충성
U00086,브랜드충성
U00087,실용주의자
U00088,실용주의자
U00089,실용주의자
U00090,실용주의자
U00091,실용주의자
U00092,신중탐색
U00093,트렌드세터
U00094,실용주의자
U00095,실용주의자
U00096,실용주의자
U00097,트렌드세터
U00098,실용주의자
U00099,가성비추구
U00100,가성비추구
U00101,실용주의자
U00102,가성비추구
U00103,트렌드세터
U00104,브랜드충성
U00105,트렌드세터
U00106,브랜드충성
U00107,가성비추구
U00108,트렌드세터
U00109,트렌드세터
U00110,트렌드세터
U00111,가성비추구
U00112,충동구매
U00113,신중탐색
U00114,가성비추구
U00115,신중탐색
U00116,신중탐색
U00117,브랜드충성
U00118,실용주의자
U00119,충동구매
U00120,실용주의자
U00121,가성비추구
U00122,브랜드충성
U00123,신중탐색
U00124,가성비추구
U00125,실용주의자
U00126,트렌드세터
U00127,실용주의자
U00128,가성비추구
U00129,실용주의자
U00130,브랜드충성
U00131,가성비추구
U00132,가성비추구
U00133,실용주의자
U00134,브랜드충성
U00135,브랜드충성
U00136,충동구매
U00137,신중탐색
U00138,실용주의자
U00139,트렌드세터
U00140,가성비추구
U00141,신중탐색
U00142,실용주의자
U00143,충동구매
U00144,실용주의자
U00145,실용주의자
U00146,신중탐색
U00147,가성비추구
U00148,브랜드충성
U00149,가성비추구
U00150,충동구매
U00151,실용주의자
U00152,신중탐색
U00153,가성비추구
U00154,실용주의자
U00155,트렌드세터
U00156,트렌드세터
U00157,실용주의자
U00158,실용주의자
U00159,트렌드세터
U00160,가성비추구
U00161,신중탐색
U00162,가성비추구
U00163,가성비추구
U00164,실용주의자
U00165,실용주의자
U00166,실용주의자
U00167,충동구매
U00168,신중탐색
U00169,브랜드충성
U00170,트렌드세터
U00171,가성비추구
U00172,가성비추구
U00173,신중탐색
U00174,브랜드충성
U00175,브랜드충성
U00176,가성비추구
U00177,브랜드충성
U00178,브랜드충성
U00179,가성비추구
U00180,충동구매
U00181,트렌드세터
U00182,신중탐색
U00183,충동구매
U00184,가성비추구
U00185,신중탐색
U00186,충동구매
U00187,가성비추구
U00188,충동구매
U00189,실용주의자
U00190,가성비추구
U00191,실용주의자
U00192,트렌드세터
U00193,신중탐색
U00194,실용주의자
U00195,브랜드충성
U00196,실용주의자
U00197,가성비추구
U00198,실용주의자
U00199,브랜드충성
U00200,충동구매
U00201,가성비추구
U00202,신중탐색
U00203,실용주의자
U00204,충동구매
U00205,브랜드충성
U00206,가성비추구
U00207,신중탐색
U00208,가성비추구
U00209,충동구매
U00210,브랜드충성
U00211,가성비추구
U00212,실용주의자
U00213,신중탐색
U00214,트렌드세터
U00215,신중탐색
U00216,가성비추구
U00217,브랜드충성
U00218,실용주의자
U00219,실용주의자
U00220,실용주의자
U00221,신중탐색
U00222,트렌드세터
U00223,실용주의자
U00224,실용주의자
U00225,충동구매
U00226,가성비추구
U00227,실용주의자
U00228,가성비추구
U00229,실용주의자
U00230,트렌드세터
U00231,가성비추구
U00232,실용주의자
U00233,실용주의자
U00234,실용주의자
U00235,가성비추구
U00236,신중탐색
U00237,충동구매
U00238,트렌드세터
U00239,브랜드충성
U00240,트렌드세터
U00241,가성비추구
U00242,충동구매
U00243,가성비추구
U00244,실용주의자
U00245,신중탐색
U00246,트렌드세터
U00247,트렌드세터
U00248,신중탐색
U00249,신중탐색
U00250,실용주의자
U00251,가성비추구
U00252,실용주의자
U00253,신중탐색
U00254,가성비추구
U00255,가성비추구
U00256,트렌드세터
U00257,브랜드충성
U00258,브랜드충성
U00259,실용주의자
U00260,신중탐색
U00261,실용주의자
U00262,신중탐색
U00263,브랜드충성
U00264,충동구매
U00265,브랜드충성
U00266,가성비추구
U00267,실용주의자
U00268,브랜드충성
U00269,실용주의자
U00270,트렌드세터
U00271,실용주의자
U00272,충동구매
U00273,충동구매
U00274,실용주의자
U00275,실용주의자
U00276,가성비추구
U00277,실용주의자
U00278,브랜드충성
U00279,실용주의자
U00280,트렌드세터
U00281,실용주의자
U00282,실용주의자
U00283,실용주의자
U00284,신중탐색
U00285,브랜드충성
U00286,실용주의자
U00287,가성비추구
U00288,실용주의자
U00289,브랜드충성
U00290,신중탐색
U00291,가성비추구
U00292,가성비추구
U00293,실용주의자
U00294,가성비추구
U00295,트렌드세터
U00296,가성비추구
U00297,신중탐색
U00298,충동구매
U00299,신중탐색
U00300,실용주의자
U00301,브랜드충성
U00302,신중탐색
U00303,트렌드세터
U00304,신중탐색
U00305,트렌드세터
U00306,신중탐색
U00307,트렌드세터
U00308,실용주의자
U00309,트렌드세터
U00310,트렌드세터
U00311,신중탐색
U00312,트렌드세터
U00313,충동구매
U00314,신중탐색
U00315,신중탐색
U00316,신중탐색
U00317,신중탐색
U00318,트렌드세터
U00319,신중탐색
U00320,트렌드세터
U00321,실용주의자
U00322,트렌드세터
U00323,브랜드충성
U00324,트렌드세터
U00325,실용주의자
U00326,브랜드충성
U00327,가성비추구
U00328,트렌드세터
U00329,가성비추구
U00330,실용주의자
U00331,가성비추구
U00332,가성비추구
U00333,신중탐색
U00334,신중탐색
U00335,트렌드세터
U00336,실용주의자
U00337,신중탐색
U00338,가성비추구
U00339,충동구매
U00340,가성비추구
U00341,충동구매
U00342,트렌드세터
U00343,브랜드충성
U00344,신중탐색
U00345,실용주의자
U00346,실용주의자
U00347,가성비추구
U00348,신중탐색
U00349,신중탐색
U00350,가성비추구
U00351,브랜드충성
U00352,신중탐색
U00353,실용주의자
U00354,충동구매
U00355,실용주의자
U00356,가성비추구
U00357,신중탐색
